"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"11/03/2025";"0000";"24,7";"25,0";"24,6";"97,0";"97,0";"97,0";"24,1";"24,5";"24,1";"1009,5";"1009,5";"1009,1";"0,1";"95,0";"1,0";"";"0,0"
"11/03/2025";"0100";"24,6";"24,8";"24,6";"97,0";"97,0";"96,0";"24,2";"24,3";"24,0";"1010,3";"1010,3";"1009,5";"0,0";"44,0";"1,1";"";"0,0"
"11/03/2025";"0200";"24,6";"24,7";"24,5";"97,0";"98,0";"96,0";"24,1";"24,2";"24,0";"1010,6";"1010,6";"1010,3";"0,1";"109,0";"1,4";"";"0,0"
"11/03/2025";"0300";"24,6";"24,7";"24,5";"96,0";"97,0";"96,0";"24,0";"24,1";"24,0";"1010,1";"1010,6";"1010,1";"0,4";"77,0";"1,6";"";"0,0"
"11/03/2025";"0400";"24,4";"24,6";"24,4";"98,0";"98,0";"96,0";"24,0";"24,1";"23,9";"1009,3";"1010,1";"1009,3";"0,3";"96,0";"1,7";"";"0,0"
"11/03/2025";"0500";"24,3";"24,5";"24,3";"98,0";"98,0";"97,0";"24,0";"24,0";"23,9";"1008,5";"1009,3";"1008,5";"0,3";"137,0";"1,4";"";"0,0"
"11/03/2025";"0600";"24,4";"24,4";"24,3";"98,0";"98,0";"97,0";"24,0";"24,0";"23,9";"1007,9";"1008,5";"1007,9";"1,6";"100,0";"3,9";"";"0,0"
"11/03/2025";"0700";"24,1";"24,4";"24,1";"98,0";"98,0";"98,0";"23,8";"24,0";"23,8";"1007,5";"1007,9";"1007,5";"0,3";"92,0";"3,3";"";"0,0"
"11/03/2025";"0800";"24,0";"24,1";"24,0";"98,0";"98,0";"98,0";"23,8";"23,8";"23,7";"1007,8";"1007,9";"1007,5";"0,1";"194,0";"1,1";"";"0,0"
"11/03/2025";"0900";"23,8";"24,0";"23,8";"99,0";"99,0";"98,0";"23,6";"23,8";"23,6";"1008,3";"1008,3";"1007,8";"0,1";"226,0";"0,8";"";"0,0"
"11/03/2025";"1000";"24,2";"24,2";"23,8";"99,0";"99,0";"98,0";"24,0";"24,0";"23,6";"1009,2";"1009,2";"1008,3";"0,3";"227,0";"1,4";"142,90";"0,0"
"11/03/2025";"1100";"26,1";"26,1";"24,2";"89,0";"99,0";"88,0";"24,2";"24,3";"23,6";"1009,9";"1009,9";"1009,2";"1,2";"136,0";"3,0";"1215,00";"0,0"
"11/03/2025";"1200";"28,1";"28,1";"26,1";"81,0";"90,0";"80,0";"24,4";"24,9";"24,0";"1010,6";"1010,6";"1009,9";"1,9";"125,0";"4,5";"2196,70";"0,0"
"11/03/2025";"1300";"29,2";"29,2";"28,1";"78,0";"82,0";"76,0";"24,9";"25,3";"24,2";"1010,9";"1010,9";"1010,6";"2,1";"60,0";"4,5";"2452,40";"0,0"
"11/03/2025";"1400";"29,6";"30,2";"29,2";"76,0";"78,0";"71,0";"24,9";"25,4";"24,1";"1010,7";"1011,0";"1010,7";"2,5";"67,0";"6,7";"2483,30";"0,0"
"11/03/2025";"1500";"27,4";"30,1";"26,9";"90,0";"92,0";"76,0";"25,6";"25,9";"24,6";"1009,8";"1010,7";"1009,8";"3,5";"63,0";"10,0";"1563,70";"0,2"
